table_name,table_description,column_name&description
MH_RO_HDR_DETAILS,Contains Repair Order header details,repair_order_cancel_reason (STRING) NULLABLE: Repair Order Cancel Reason
MH_RO_HDR_DETAILS,Contains Repair Order header details,repair_order_delay_reason (STRING) NULLABLE: Repair Order Delay Reason
MH_RO_HDR_DETAILS,Contains Repair Order header details,pendency_reason (STRING) NULLABLE: Pendency Reason
MH_RO_HDR_DETAILS,Contains Repair Order header details,time_revision_approval_reason (STRING) NULLABLE: Time Revision Approval Reason
MH_RO_HDR_DETAILS,Contains Repair Order header details,cost_revision_approval_reason (STRING) NULLABLE: Cost Revision Approval Reason
MH_RO_HDR_DETAILS,Contains Repair Order header details,pickup_type_name (STRING) NULLABLE: Pickup Type Name
MH_RO_HDR_DETAILS,Contains Repair Order header details,drop_type_name (STRING) NULLABLE: Drop Type Name
MH_RO_HDR_DETAILS,Contains Repair Order header details,ro_doc_type_name (STRING) NULLABLE: RO Document Type Name
MH_RO_HDR_DETAILS,Contains Repair Order header details,bill_type_name (STRING) NULLABLE: Bill Type Name
MH_RO_HDR_DETAILS,Contains Repair Order header details,service_campaign_type_name (STRING) NULLABLE: Service Campaign Type Name
MH_RO_HDR_DETAILS,Contains Repair Order header details,tech_employee_name (STRING) NULLABLE: Technician Employee Name
MH_RO_HDR_DETAILS,Contains Repair Order header details,product_division_name (STRING) NULLABLE: Product Division Name
MH_RO_HDR_DETAILS,Contains Repair Order header details,taxi_indicator (STRING) NULLABLE: Taxi Indicator
MH_RO_HDR_DETAILS,Contains Repair Order header details,bay_type_name (STRING) NULLABLE: Bay Type Name
MH_RO_HDR_DETAILS,Contains Repair Order header details,revist_flag (STRING) NULLABLE: Revisit Flag
MH_RO_HDR_DETAILS,Contains Repair Order header details,repeat_repair_flag (STRING) NULLABLE: Repeat Repair Flag
MH_RO_HDR_DETAILS,Contains Repair Order header details,service_group (STRING) NULLABLE: Service Group
